name,immun_ashas,chg_inf_mort,inf_mort
_Maharashtra,69.5,-2.834087217,8.203113041
Ahmednagar,77.6,-48.81671053,6.126021004
Akola,74.5,12.28760559,27.332705
Amravati,88.3,-22.74316826,10.47284445
Aurangabad,78.8,-52.41862655,1.407268418
Bhandara,87,3.85731623,18.16048564
Bid,84.2,61.28571953,7.052318362
Brihan Mumbai,0.8,-27.44862088,7.435635282
Buldana,73,-9.148677146,7.688122442
Chandrapur,90.1,240.6133686,14.65868105
Dhule,71.9,34.98663051,16.59468061
Gadchiroli,59.3,41.58596108,19.29805379
Gondiya,71.3,-32.51895144,14.7322843
Hingoli,84.7,-21.76237038,12.16656195
Jalgaon,80.3,-3.686665691,12.40659805
Jalna,88.2,-26.92096854,5.672203071
Kolhapur,83.9,-9.510422815,8.509887784
Latur,72.3,52.4527961,0.903423977
Nagpur,56.1,52.34099211,10.86030664
Nanded,30.9,-10.74000513,2.203266193
Nandurbar,70.2,7.293183187,20.0911641
Nashik,61.2,11.06762062,8.352830329
Osmanabad,64.1,31.58390414,5.73556797
Palghar,89.4,29.70083619,4.679173346
Parbhani,54.9,-43.90808665,5.275779376
Pune,64.3,-5.139037364,3.352879703
Raigarh,74.1,46.37844661,11.48514851
Ratnagiri,75.8,-22.20221987,10.71216029
Sangli,92.5,0.999087895,12.81703937
Satara,78.9,-8.55492699,6.706139513
Sindhudurg,82.6,29.40433835,5.049925399
Solapur,68.4,-29.84554881,6.336027966
Thane,55.3,47.09650212,6.80320825
Wardha,84.9,20.68807601,9.162938608
Washim,85.8,-25.97435428,7.561532606
Yavatmal,77.4,42.81006413,9.760605924
